"ORF","MEAN","MEDIAN","STD","IQR","STD.MeanNormalized","STD.MedianNormalized","IQR.MedianNormalized","FractionOutliers"
"YPL204W",94.8326086956522,86,27.1594322282715,18,0.28639338938186,0.315807351491529,0.209302325581395,0.159420289855072
"YBR169C",68.3990066225166,61.5,29.0267093926837,23,0.42437325958369,0.471979014515182,0.373983739837398,0.0745033112582782
"YGR187C",256.74972557629,224,91.0225725985158,81,0.354518675313909,0.406350770529088,0.361607142857143,0.119648737650933
"YOR164C",1269.94676588437,141,2538.41250348104,45.5,1.99883378711022,18.0029255566031,0.322695035460993,0.277618775042931
"YLR058C",1167.44280442804,1077,679.867985228933,1145,0.582356568262045,0.631260896219994,1.06313834726091,0.0014760147601476
"YPR041W",517.797308662742,478,154.088877867005,103,0.297585320141879,0.322361669177836,0.215481171548117,0.129520605550883
"YDR050C",4934.46411012783,3885,2255.0854019785,3458,0.457007154505393,0.58045956292883,0.89009009009009,0
"YLR196W",126.690155440415,105,59.5058520473439,60,0.469695943149513,0.566722400450894,0.571428571428571,0.0663212435233161
"YCR012W",11808.4431372549,9900.5,4923.25393363933,2727,0.416926590272241,0.497273262324058,0.275440634311398,0.219607843137255
"YFR004W",187.312849162011,179,54.9228864224927,38,0.293214729625882,0.306831767723423,0.212290502793296,0.077414205905826
"YLR441C",2920.89130434783,2909,526.66900780818,520.75,0.180311060197351,0.181048129188099,0.179013406668958,0.0427989130434783
"YPL111W",103.408373369938,97,34.1597935557665,42,0.3303387573225,0.352162820162541,0.43298969072165,0.0219629375428964
"YIR034C",809.103829787234,526,618.137590835065,221.5,0.763978080535861,1.17516652250012,0.421102661596958,0.211914893617021
"YDR353W",765.265338645418,615,376.376587263841,243.5,0.491824950454516,0.611994450835514,0.395934959349593,0.193625498007968
"YML028W",2715.53047555258,2658,615.374588869998,617,0.226613029907085,0.231517904014296,0.232129420617005,0.0221031480241125
"YIR012W",297.393474088292,274,88.5116188233624,58,0.297624616998437,0.323035105194753,0.211678832116788,0.143953934740883
"YCL040W",535.28133862734,418,381.206285118531,378,0.712160610896853,0.911976758656774,0.904306220095694,0.0476460578559274
"YKR080W",97.2963970088375,91,30.3404802551256,21,0.311835599137034,0.333411870935446,0.230769230769231,0.0924541128484025
"YMR122W-A",351.136054421769,382,203.193082908855,193,0.578673367061272,0.531919065206427,0.505235602094241,0.010689990281827
"YMR079W",506.682801235839,421,181.558204869524,295.5,0.358327151477589,0.431254643395543,0.701900237529691,0
"YOR136W",112.645051194539,99,58.089188627809,58,0.515683450021149,0.58675948108898,0.585858585858586,0.0571672354948805
"YLR153C",302.695426195426,287,98.0093210536517,86.75,0.323788576145762,0.341495892173002,0.302264808362369,0.0550935550935551
"YHR027C",316.496496496496,287,101.212933232096,74,0.319791638619974,0.352658303944584,0.257839721254355,0.142142142142142
"YDR432W",885.233828207847,859,245.16775384108,174,0.27695253618744,0.28541065639241,0.20256111757858,0.0646871686108165
"YPL100W",42.2986789201608,40,9.94111071066966,11,0.235021777617065,0.248527767766742,0.275,0.0436530729465824
"YGR173W",231.34328358209,224,76.5898700851854,127,0.33106589004564,0.341919062880292,0.566964285714286,0.00165837479270315
"YEL042W",84.1446945337621,76,28.7805345638888,26,0.342036235598205,0.378691244261695,0.342105263157895,0.0771704180064309
"YLR285W",173.631533101045,170,58.0929803557199,101,0.334576210427818,0.341723413857176,0.594117647058824,0
"YKR016W",41.2890909090909,38,14.286362513211,15,0.346008163383066,0.375956908242394,0.394736842105263,0.0436363636363636
