ID,Gene_Name,In_Degree,Out_Degree
1037,YHR006W,3,0
1038,YHR007C,14,0
1039,YHR008C,9,0
1040,YHR009C,4,0
1041,YHR010W,6,0
1042,YHR012W,1,0
1043,YHR013C,1,0
1044,YHR018C,6,0
1045,YHR019C,7,0
1046,YHR020W,6,0
1047,YHR021C,5,0
1048,YHR024C,2,0
1049,YHR025W,2,0
1050,YHR026W,5,0
1051,YHR027C,2,0
1052,YHR028C,3,0
1053,YHR029C,3,0
1054,YHR030C,12,0
1055,YHR033W,11,0
1056,YHR037W,3,0
1057,YHR039C,2,0
1058,YHR041C,1,0
1059,YHR042W,4,0
1060,YHR043C,5,0
1061,YHR047C,2,0
1062,YHR049W,3,0
1063,YHR050W,4,0
1064,YHR051W,7,0
1065,YHR052W,12,0
1066,YHR057C,5,0
1067,YHR063C,2,0
1068,YHR064C,7,0
1069,YHR065C,2,0
1070,YHR066W,2,0
1071,YHR068W,11,0
1072,YHR070W,4,0
1073,YHR071W,6,0
1074,YHR074W,6,0
1075,YHR081W,2,0
1076,YHR083W,6,0
1077,YHR084W,0,249
1078,YHR087W,8,0
1079,YHR088W,2,0
1080,YHR089C,8,0
1081,YHR090C,2,0
1082,YHR092C,3,0
1083,YHR094C,9,0
1084,YHR096C,10,0
1085,YHR097C,3,0
1086,YHR098C,4,0
1087,YHR099W,1,0
1088,YHR104W,14,0
1089,YHR107C,1,0
1090,YHR110W,9,0
1091,YHR112C,3,0
1092,YHR113W,3,0
1093,YHR121W,2,0
1094,YHR122W,2,0
1095,YHR123W,4,0
1096,YHR124W,0,131
1097,YHR128W,2,0
1098,YHR132C,1,0
1099,YHR135C,6,0
1100,YHR136C,12,0
1101,YHR137W,12,0
1102,YHR138C,7,0
1103,YHR140W,21,0
1104,YHR141C,5,0
1105,YHR142W,9,0
1106,YHR143W,10,0
1107,YHR146W,7,0
1108,YHR147C,4,0
1109,YHR150W,1,0
1110,YHR161C,4,0
1111,YHR162W,11,0
1112,YHR163W,3,0
1113,YHR170W,12,0
1114,YHR174W,5,0
1115,YHR175W,4,0
1116,YHR178W,0,57
1117,YHR179W,7,0
1118,YHR181W,4,0
1119,YHR183W,9,0
1120,YHR190W,5,0
1121,YHR193C,10,0
1122,YHR194W,2,0
1123,YHR195W,2,0
1124,YHR196W,6,0
1125,YHR198C,4,0
1126,YHR199C,1,0
1127,YHR200W,5,0
1128,YHR201C,1,0
1129,YHR203C,6,0
1130,YHR205W,3,0
1131,YHR206W,0,102
1132,YHR208W,4,0
1133,YHR215W,5,0
1134,YHR216W,4,0
1135,YIL003W,3,0
1136,YIL004C,2,0
1137,YIL009W,7,0
1138,YIL010W,1,0
1139,YIL016W,4,0
1140,YIL018W,8,0
1141,YIL020C,3,0
1142,YIL021W,3,0
1143,YIL022W,1,0
1144,YIL027C,2,0
1145,YIL033C,8,0
1146,YIL034C,2,0
1147,YIL035C,4,0
1148,YIL036W,3,23
1149,YIL039W,2,0
1150,YIL040W,3,0
1151,YIL041W,6,0
